Nom;Pob
  06120-Santa Amalia ;4149
  06121-Santa Marta ;4301
  06122-Santos de Maimona, Los ;8254
  06124-Segura de León ;2012
  06125-Siruela ;2017
  06126-Solana de los Barros ;2692
  06127-Talarrubias ;3576
  06128-Talavera la Real ;5484
  06129-Táliga ;721
  06130-Tamurejo ;225
  06131-Torre de Miguel Sesmero ;1261
  06132-Torremayor ;1049
  06133-Torremejía ;2259
  06134-Trasierra ;654
  06135-Trujillanos ;1442
  06136-Usagre ;1851
  06137-Valdecaballeros ;1135
  06901-Valdelacalzada ;2784
  06138-Valdetorres ;1246
  06139-Valencia de las Torres ;645
  06140-Valencia del Mombuey ;766
  06141-Valencia del Ventoso ;2084
  06146-Valle de la Serena ;1302
  06147-Valle de Matamoros ;391
  06148-Valle de Santa Ana ;1175
  06142-Valverde de Burguillos ;296
  06143-Valverde de Leganés ;4184
  06144-Valverde de Llerena ;645
  06145-Valverde de Mérida ;1086
  06149-Villafranca de los Barros ;13289
  06150-Villagarcía de la Torre ;945
  06151-Villagonzalo ;1295
  06152-Villalba de los Barros ;1574
  06153-Villanueva de la Serena ;26021
  06154-Villanueva del Fresno ;3489
  06156-Villar de Rena ;1413
  06155-Villar del Rey ;2273
  06157-Villarta de los Montes ;516
  06158-Zafra ;16857
  06159-Zahínos ;2844
  06160-Zalamea de la Serena ;3786
  06162-Zarza, La ;3586
  06161-Zarza-Capilla ;359
  07002-Alaior ;8997
  07001-Alaró ;5275
  07003-Alcúdia ;19763
  07004-Algaida ;5410
  07005-Andratx ;11093
  07901-Ariany ;871
  07006-Artà ;7381
  07007-Banyalbufar ;548
  07008-Binissalem ;7850
  07009-Búger ;1022
  07010-Bunyola ;6706
  07011-Calvià ;50328
  07012-Campanet ;2524
  07013-Campos ;9892
  07014-Capdepera ;11420
  07064-Castell, Es ;7635
  07015-Ciutadella de Menorca ;29098
  07016-Consell ;3862
  07017-Costitx ;1205
  07018-Deià ;713
  07026-Eivissa ;49975
  07019-Escorca ;236
  07020-Esporles ;4922
  07021-Estellencs ;336
  07022-Felanitx ;17412
  07023-Ferreries ;4571
  07024-Formentera ;11878
  07025-Fornalutx ;703
  07027-Inca ;30651
  07028-Lloret de Vistalegre ;1233
  07029-Lloseta ;5639
  07030-Llubí ;2176
  07031-Llucmajor ;34618
  07033-Manacor ;40170
  07034-Mancor de la Vall ;1321
  07032-Maó-Mahón ;28006
  07035-Maria de la Salut ;2113
  07036-Marratxí ;35726
  07037-Mercadal, Es ;5091
  07902-Migjorn Gran, Es ;1429
  07038-Montuïri ;2850
  07039-Muro ;6723
  07040-Palma de Mallorca ;400578
  07041-Petra ;2816
  07044-Pobla, Sa ;12694
  07042-Pollença ;16115
  07043-Porreres ;5267
  07045-Puigpunyent ;2018
  07059-Salines, Ses ;5018
  07046-Sant Antoni de Portmany ;23631
  07049-Sant Joan ;2035
  07050-Sant Joan de Labritja ;5872
  07048-Sant Josep de sa Talaia ;25674
  07051-Sant Llorenç des Cardassar ;8146
  07052-Sant Lluís ;7521
  07053-Santa Eugènia ;1638
  07054-Santa Eulària des Riu ;35812
  07055-Santa Margalida ;11672
  07056-Santa María del Camí ;6685
  07057-Santanyí ;11316
  07058-Selva ;3890
  07047-Sencelles ;3082
  07060-Sineu ;3612
  07061-Sóller ;13648
  07062-Son Servera ;11449
  07063-Valldemossa ;2005
  07065-Vilafranca de Bonany ;2913
  08001-Abrera ;12071
  08002-Aguilar de Segarra ;246
  08014-Aiguafreda ;2465
  08003-Alella ;9660
  08004-Alpens ;290
  08005-Ametlla del Vallès, L' ;8303
  08006-Arenys de Mar ;15289
  08007-Arenys de Munt ;8736
  08008-Argençola ;223
  08009-Argentona ;11978
  08010-Artés ;5665
  08011-Avià ;2225
  08012-Avinyó ;2248
  08013-Avinyonet del Penedès ;1652
  08015-Badalona ;215654
  08904-Badia del Vallès ;13502
  08016-Bagà ;2188
  08017-Balenyà ;3711
  08018-Balsareny ;3324
  08252-Barberà del Vallès ;32545
  08019-Barcelona ;1604555
  08020-Begues ;6670
  08021-Bellprat ;74
  08022-Berga ;16238
  08023-Bigues i Riells ;8858
  08024-Borredà ;503
  08025-Bruc, El ;2032
  08026-Brull, El ;254
  08027-Cabanyes, Les ;967
  08028-Cabrera d'Anoia ;1348
  08029-Cabrera de Mar ;4522
  08030-Cabrils ;7250
  08031-Calaf ;3426
  08034-Calders ;968
  08033-Caldes de Montbui ;17098
  08032-Caldes d'Estrac ;2717
  08035-Calella ;18226
  08037-Calldetenes ;2427
  08038-Callús ;2024
  08036-Calonge de Segarra ;197
  08039-Campins ;491
  08040-Canet de Mar ;14177
  08041-Canovelles ;15906
  08042-Cànoves i Samalús ;2897
  08043-Canyelles ;4375
  08044-Capellades ;5268
  08045-Capolat ;92
  08046-Cardedeu ;17938
  08047-Cardona ;4898
